Pathway	Protein	Gene_name	Definition
Carbox fixation		Os11g0171300	"Fructose-bisphosphate aldolase, chloroplast precursor (EC 4.1.2.13) (ALDP)."
Carbox fixation		Os12g0169600	Similar to Fructose-bisphosphate aldolase.
Carbox fixation		Os04g0234600	"Similar to Sedoheptulose-1,7-bisphosphatase."
Carbox fixation		Os04g0266900	Transketolase C-terminal-like domain containing protein.
Carbox fixation		Os06g0133800	Similar to Transferase.
Carbox fixation		Os03g0781400	Ribose 5-phosphate isomerase family protein.
Carbox fixation		Os04g0306400	Ribose 5-phosphate isomerase family protein.
Carbox fixation		Os07g0176900	Similar to Ribose-5-phosphate isomerase precursor (EC 5.3.1.6).
Carbox fixation		Os02g0698000	"Similar to Phosphoribulokinase, chloroplast precursor (EC 2.7.1.19) (Phosphopentokinase) (PRKase) (PRK)."
Carbox fixation		Os04g0596900	Phosphoribulokinase/uridine kinase family protein.
Carbox fixation		Os03g0169100	"Ribulose-phosphate 3-epimerase, chloroplast precursor (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (RPE) (R5P3E)."
Carbox fixation		Os09g0505700	Aldolase-type TIM barrel domain containing protein.
Carbox fixation		Os01g0866400	"Similar to Fructose-1,6-bisphosphatase (EC 3.1.3.11) (Fragment)."
Carbox fixation		Os03g0267300	"Similar to Fructose-1,6-bisphosphatase, chloroplast precursor (EC 3.1.3.11) (D- fructose-1,6-bisphosphate 1-phosphohydrolase) (FBPase)."
Carbox fixation		Os05g0438600	"Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase domain containing protein."
Carbox fixation		Os06g0664200	"Inositol monophosphatase/Fructose-1,6-bisphosphatase domain containing protein."
Carbox fixation	TPI	Os01g0147900	"Triosephosphate isomerase, cytosolic (EC 5.3.1.1) (TIM) (Triose- phosphate isomerase)."
Carbox fixation		Os01g0841600	"Similar to Triosephosphate isomerase, cytosolic (EC 5.3.1.1) (TIM) (Triose- phosphate isomerase)."
Carbox fixation		Os03g0129300	Similar to Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13) (Fragment).
Carbox fixation		Os01g0800266	Similar to Phosphoglycerate kinase.
Carbox fixation		Os02g0169300	"Similar to Phosphoglycerate kinase, cytosolic (EC 2.7.2.3)."
Carbox fixation		Os05g0496200	Similar to 3-phosphoglycerate kinase (Fragment).
Carbox fixation		Os06g0668200	"Similar to Phosphoglycerate kinase, cytosolic (EC 2.7.2.3)."
Carbox fixation		Os01g0791033	"Similar to ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit."
Carbox fixation		Os01g0899425	"Similar to ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit."
Carbox fixation		Os02g0152400	Similar to Ribulose bisphosphate carboxylase (EC 4.1.1.39) (Fragment).
Carbox fixation		Os05g0427800	Similar to Ribulose bisphosphate carboxylase large chain.
Carbox fixation		Os10g0356000	"Similar to ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit."
Carbox fixation		Os12g0207600	"Similar to ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit."
Carbox fixation	RBCS	Os12g0274700	"Similar to Petunia ribulose 1,5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)."
Carbox fixation		Os12g0291100	"Similar to Petunia ribulose 1,5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)."
Carbox fixation		Os12g0291200	Similar to Ribulose bisphosphate carboxylase small chain.
Carbox fixation		Os12g0291400	"Similar to Petunia ribulose 1,5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)."
Carbox fixation		Os12g0292400	"Similar to Petunia ribulose 1,5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)."
Carbox fixation	PPDK	Os05g0405000	Orthophosphate dikinase precursor (EC 2.7.9.1).
Carbox fixation		Os01g0110700	Similar to Phosphoenolpyruvate carboxylase (EC 4.1.1.31).
Carbox fixation		Os01g0208700	Similar to Phosphoenolpyruvate carboxylase (Fragment).
Carbox fixation		Os01g0758300	"Similar to Phosphoenolpyruvate carboxylase, housekeeping isozyme (EC 4.1.1.31) (PEPCase)."
Carbox fixation		Os02g0244700	Similar to Phosphoenolpyruvate carboxylase 1 (EC 4.1.1.31) (PEPCase 1) (CP21).
Carbox fixation		Os08g0366000	Phosphoenolpyruvate carboxylase.
Carbox fixation		Os09g0315700	Phosphoenolpyruvate carboxylase family protein.
Carbox fixation		Os01g0649100	Malate dehydrogenase.
Carbox fixation		Os01g0829800	Similar to Malate dehydrogenase precursor (EC 1.1.1.37).
Carbox fixation		Os03g0773800	"Similar to Malate dehydrogenase, glyoxysomal precursor (EC 1.1.1.37) (mbNAD-MDH)."
Carbox fixation		Os04g0551200	Similar to Cytoplasmic malate dehydrogenase.
Carbox fixation		Os05g0574400	Similar to Malate dehydrogenase.
Carbox fixation		Os07g0630800	Similar to Nodule-enhanced malate dehydrogenase.
Carbox fixation		Os08g0434300	Similar to Malate dehydrogenase precursor (EC 1.1.1.37).
Carbox fixation		Os10g0478200	Cytoplasmic malate dehydrogenase.
Carbox fixation		Os12g0632700	"Malate dehydrogenase, glyoxysomal precursor (EC 1.1.1.37)."
Carbox fixation		Os02g0171100	Similar to Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (GAPDH).
Carbox fixation		Os02g0601300	"Similar to Glyceraldehyde-3-phosphate dehydrogenase, cytosolic 3 (EC 1.2.1.12)."
Carbox fixation		Os04g0486600	"Similar to Glyceraldehyde-3-phosphate dehydrogenase, cytosolic 3 (EC 1.2.1.12)."
Carbox fixation		Os06g0666600	"Similar to Glyceraldehyde-3-phosphate dehydrogenase, cytosolic 3 (EC 1.2.1.12)."
Carbox fixation	GAPC	Os08g0126300	Similar to Glyceraldehyde-3-phosphate dehydrogenase (Fragment).
Carbox fixation		Os01g0760600	"Aspartate aminotransferase, cytoplasmic (EC 2.6.1.1) (Transaminase A)."
Carbox fixation		Os03g0183600	Similar to Alanine aminotransferase.
Carbox fixation		Os07g0108300	Similar to Alanine aminotransferase.
Carbox fixation		Os07g0617800	Similar to Alanine aminotransferase.
Carbox fixation		Os09g0433900	Similar to Alanine aminotransferase 2 (EC 2.6.1.2) (GPT) (Glutamic--pyruvic transaminase 2) (Glutamic--alanine transaminase 2) (ALAAT-2).
Carbox fixation		Os10g0390500	Similar to Alanine aminotransferase.
Carbox fixation		Os10g0390600	Similar to Alanine aminotransferase 2 (EC 2.6.1.2) (GPT) (Glutamic--pyruvic transaminase 2) (Glutamic--alanine transaminase 2) (ALAAT-2).
Carbox fixation		Os08g0562100	Similar to Sorghum chloroplast CM3 malate dehydrogenase (NADP) (Fragment).
Carbox fixation		Os01g0188400	"NADP-dependent malic enzyme, chloroplast precursor (EC 1.1.1.40) (NADP-ME)."
Carbox fixation		Os01g0723400	Malic oxidoreductase family protein.
Carbox fixation		Os01g0743500	Cytosolic NADP malic enzyme.
Carbox fixation		Os02g0665000	Similar to Malic enzyme.
Carbox fixation		Os05g0186300	Similar to NADP-malic enzyme.
Carbox fixation		Os07g0496200	"Similar to NAD-dependent malic enzyme 62 kDa isoform, mitochondrial precursor (EC 1.1.1.39) (NAD-ME)."
Carbox fixation		Os10g0503500	"Similar to NAD-dependent malic enzyme 59 kDa isoform, mitochondrial precursor (EC 1.1.1.39) (NAD-ME)."
Carbox fixation		Os03g0255500	Similar to Phosphoenolpyruvate carboxykinase 4 (EC 4.1.1.49) (Fragment).
Carbox fixation		Os10g0204400	Similar to Phosphoenolpyruvate carboxykinase (Fragment).
Photorespiration		Os01g0791033	"Similar to ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit."
Photorespiration		Os01g0899425	"Similar to ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit."
Photorespiration		Os05g0427800	Similar to Ribulose bisphosphate carboxylase large chain.
Photorespiration		Os10g0356000	"Similar to ribulose-1,5-bisphosphate "
Photorespiration		Os12g0207600	"Similar to ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit."
Photorespiration		Os02g0152400	Similar to Ribulose bisphosphate carboxylase (EC 4.1.1.39) (Fragment).
Photorespiration	RBCS	Os12g0274700	"Similar to Petunia ribulose 1,5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)."
Photorespiration		Os12g0291100	"Similar to Petunia ribulose 1,5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)."
Photorespiration		Os12g0291200	Similar to Ribulose bisphosphate carboxylase small chain.
Photorespiration		Os12g0291400	"Similar to Petunia ribulose 1,5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)."
Photorespiration		Os12g0292400	"Similar to Petunia ribulose 1,5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)."
Photorespiration		Os04g0490800	Haloacid dehalogenase-like hydrolase domain containing protein.
Photorespiration		Os09g0261300	Similar to 4-nitrophenylphosphatase-like protein.
Photorespiration		Os03g0786100	Similar to Glycolate oxidase (EC 1.1.3.15) (Fragment).
Photorespiration		Os04g0623500	Similar to H0215F08.7 protein.
Photorespiration		Os07g0152900	Similar to Glycolate oxidase (EC 1.1.3.15) (Fragment).
Photorespiration		Os07g0616500	"Similar to (S)-2-hydroxy-acid oxidase, peroxisomal (EC 1.1.3.15) (Glycolate oxidase) (GOX) (Short chain alpha-hydroxy acid oxidase)."
Photorespiration	CATA	Os02g0115700	Catalase isozyme A (EC 1.11.1.6) (CAT-A).
Photorespiration	CATC	Os03g0131200	Similar to Catalase isozyme 2 (EC 1.11.1.6).
Photorespiration	CATB	Os06g0727200	Catalase isozyme B (EC 1.11.1.6) (CAT-B).
Photorespiration		Os07g0108300	Similar to Alanine aminotransferase.
Photorespiration		Os01g0874900	Similar to Hydroxymethyltransferase.
Photorespiration		Os03g0738400	"Similar to Serine hydroxymethyltransferase, cytosolic (EC 2.1.2.1) (Serine methylase) (Glycine hydroxymethyltransferase) (SHMT)."
Photorespiration		Os05g0429000	Similar to Hydroxymethyltransferase.
Photorespiration		Os11g0455800	Similar to Serine hydroxymethyltransferase.
Photorespiration		Os12g0409000	Similar to Serine hydroxymethyltransferase.
Photorespiration		Os08g0502700	"Pyridoxal phosphate-dependent transferase, major region, subdomain 1 domain containing protein."
Photorespiration		Os02g0101500	Similar to NADH-dependent hydroxypyruvate reductase (EC 1.1.1.29) (Fragment).
Photorespiration		Os01g0228600	Similar to 2-hydroxyacid dehydrogenase (AGR_L_379p).
Photorespiration		Os04g0106400	NAD(P)-binding domain containing protein.
Photorespiration		Os04g0107200	NAD(P)-binding domain containing protein.
Photorespiration		Os04g0107300	NAD(P)-binding domain containing protein.
Photorespiration		Os04g0107500	NAD(P)-binding domain containing protein.
Photorespiration		Os01g0682500	Similar to Protein Kinase C630.09c.
Photorespiration		Os01g0711400	Similar to Victorin binding protein.
Photorespiration		Os06g0611900	Similar to Glycine decarboxylase P subunit.
Photorespiration		Os04g0623800	"Similar to Aminomethyltransferase, mitochondrial precursor (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT)."
Photorespiration		Os01g0328700	FAD-dependent pyridine nucleotide-disulphide oxidoreductase domain containing protein.
Photorespiration		Os01g0337900	Similar to Dihydrolipoamide dehydrogenase.
Photorespiration		Os05g0156700	Similar to Dihydrolipoyl dehydrogenase.
Photorespiration		Os05g0160000	Similar to Ferric leghemoglobin reductase.
Photorespiration		Os02g0169700	Glycine cleavage H-protein family protein.
Photorespiration		Os02g0170100	Glycine cleavage H-protein family protein.
Photorespiration		Os06g0667600	Similar to Glycine decarboxylase complex H-protein.
Photorespiration		Os10g0516100	"Similar to Glycine cleavage system H protein, mitochondrial precursor."
